Source,rr_id,seqnames,start,end
HD_GWAS_significant,chr5A:584824011-584827247,chr5A,584824011,584827247
HD_GWAS_significant,chr5A:585469868-585472398,chr5A,585469868,585472398
HD_GWAS_significant,chr5A:585476406-585479545,chr5A,585476406,585479545
HD_GWAS_significant,chr5A:585905871-585908260,chr5A,585905871,585908260
HD_GWAS_significant,chr5A:585909736-585929429,chr5A,585909736,585929429
HD_GWAS_significant,chr5A:584827248-584835145,chr5A,584827248,584835145
HD_GWAS_significant,chr5A:599815135-599821537,chr5A,599815135,599821537
HD_GWAS_significant,chr5A:584269437-584272635,chr5A,584269437,584272635
HD_GWAS_significant,chr5A:583798127-583801333,chr5A,583798127,583801333
Height_GWAS_significant,chr5A:105824134-105828507,chr5A,105824134,105828507
Height_GWAS_significant,chr5A:79613333-79617154,chr5A,79613333,79617154
Height_GWAS_significant,chr5A:99270863-99273500,chr5A,99270863,99273500
Height_GWAS_significant,chr5A:99273501-99276648,chr5A,99273501,99276648
Height_GWAS_significant,chr5A:85050081-85055050,chr5A,85050081,85055050
Height_GWAS_significant,chr5A:101115615-101125681,chr5A,101115615,101125681
Height_GWAS_significant,chr5A:79971759-79975915,chr5A,79971759,79975915
Height_GWAS_significant,chr5A:93934649-93938321,chr5A,93934649,93938321
Height_GWAS_significant,chr5A:94180562-94185936,chr5A,94180562,94185936
Height_GWAS_significant,chr5A:105246688-105248921,chr5A,105246688,105248921
Height_GWAS_significant,chr5A:105584862-105590085,chr5A,105584862,105590085
Height_GWAS_significant,chr5A:101251898-101256936,chr5A,101251898,101256936
Height_GWAS_significant,chr5A:100719460-100726829,chr5A,100719460,100726829
Height_GWAS_significant,chr5A:93564456-93566599,chr5A,93564456,93566599
Height_GWAS_significant,chr5A:79984055-79991351,chr5A,79984055,79991351
Height_GWAS_significant,chr5A:75656312-75662092,chr5A,75656312,75662092
Height_GWAS_significant,chr5A:102858683-102861090,chr5A,102858683,102861090
Height_GWAS_significant,chr5A:93911271-93918892,chr5A,93911271,93918892
Height_GWAS_significant,chr5A:86920645-86925204,chr5A,86920645,86925204
Height_GWAS_significant,chr5A:87011569-87015372,chr5A,87011569,87015372
Height_GWAS_significant,chr5A:101296161-101299584,chr5A,101296161,101299584
Height_GWAS_significant,chr5A:99740019-99746908,chr5A,99740019,99746908
Height_GWAS_significant,chr5A:91727583-91732464,chr5A,91727583,91732464
Height_GWAS_significant,chr5A:92367497-92374010,chr5A,92367497,92374010
Height_GWAS_significant,chr5A:92672279-92676113,chr5A,92672279,92676113
Height_GWAS_significant,chr5A:100140312-100142515,chr5A,100140312,100142515
Height_GWAS_significant,chr5A:86655139-86658684,chr5A,86655139,86658684
Height_GWAS_significant,chr5A:87114111-87116692,chr5A,87114111,87116692
Height_GWAS_significant,chr5A:107354509-107359351,chr5A,107354509,107359351
Height_GWAS_significant,chr5A:80078102-80081590,chr5A,80078102,80081590
Height_GWAS_significant,chr5A:89164371-89174614,chr5A,89164371,89174614
Height_GWAS_significant,chr5A:84644917-84650962,chr5A,84644917,84650962
Height_GWAS_significant,chr5A:84758386-84764653,chr5A,84758386,84764653
Height_GWAS_significant,chr5A:102041778-102044277,chr5A,102041778,102044277
Height_GWAS_significant,chr5A:98698949-98703175,chr5A,98698949,98703175
Height_GWAS_significant,chr5A:75648366-75653260,chr5A,75648366,75653260
Height_GWAS_significant,chr5A:76297298-76301493,chr5A,76297298,76301493
Height_GWAS_significant,chr5A:93550051-93554492,chr5A,93550051,93554492
Height_GWAS_significant,chr5A:89179557-89184771,chr5A,89179557,89184771
Height_GWAS_significant,chr5A:96526347-96528967,chr5A,96526347,96528967
WDR_GWAS_significant,chr5A:585548051-585550635,chr5A,585548051,585550635
WDR_GWAS_significant,chr5A:584824011-584827247,chr5A,584824011,584827247
WDR_GWAS_significant,chr5A:585469868-585472398,chr5A,585469868,585472398
WDR_GWAS_significant,chr5A:585476406-585479545,chr5A,585476406,585479545
WDR_GWAS_significant,chr5A:585905871-585908260,chr5A,585905871,585908260
WDR_GWAS_significant,chr5A:585909736-585929429,chr5A,585909736,585929429
WDR_GWAS_significant,chr5A:585429476-585432676,chr5A,585429476,585432676
WDR_GWAS_significant,chr5A:584827248-584835145,chr5A,584827248,584835145
WDR_GWAS_significant,chr5A:586274698-586281399,chr5A,586274698,586281399
WDR_GWAS_significant,chr5A:598378982-598383047,chr5A,598378982,598383047
WDR_GWAS_significant,chr5A:598373787-598377401,chr5A,598373787,598377401
WDR_GWAS_significant,chr5A:598300453-598303013,chr5A,598300453,598303013
WDR_GWAS_significant,chr5A:586931179-586936818,chr5A,586931179,586936818
WDR_GWAS_significant,chr5A:586923108-586929249,chr5A,586923108,586929249
WDR_GWAS_significant,chr5A:586948889-586956014,chr5A,586948889,586956014
WDR_GWAS_significant,chr5A:577762080-577769383,chr5A,577762080,577769383
WDR_GWAS_significant,chr5A:577686864-577690479,chr5A,577686864,577690479
WDR_GWAS_significant,chr5A:586941752-586944507,chr5A,586941752,586944507
WDR_GWAS_significant,chr5A:587065444-587071787,chr5A,587065444,587071787
WDR_GWAS_significant,chr5A:586872981-586879632,chr5A,586872981,586879632
WDR_GWAS_significant,chr5A:577601419-577605878,chr5A,577601419,577605878
WDR_GWAS_significant,chr5A:577402712-577410768,chr5A,577402712,577410768
WDR_GWAS_significant,chr5A:576574799-576581500,chr5A,576574799,576581500
WDR_GWAS_significant,chr5A:578648045-578653235,chr5A,578648045,578653235
WDR_GWAS_significant,chr5A:579339165-579342265,chr5A,579339165,579342265
WDR_GWAS_significant,chr5A:587084923-587091958,chr5A,587084923,587091958
WDR_GWAS_significant,chr5A:579175055-579178619,chr5A,579175055,579178619
WDR_GWAS_significant,chr5A:583495132-583499072,chr5A,583495132,583499072
WDR_GWAS_significant,chr5A:599815135-599821537,chr5A,599815135,599821537
WDR_GWAS_significant,chr5A:578337952-578343253,chr5A,578337952,578343253
WDR_GWAS_significant,chr5A:584269437-584272635,chr5A,584269437,584272635
WDR_GWAS_significant,chr5A:581313272-581315966,chr5A,581313272,581315966
WDR_GWAS_significant,chr5A:599880021-599891097,chr5A,599880021,599891097
WDR_GWAS_significant,chr5A:599561036-599563626,chr5A,599561036,599563626
WDR_GWAS_significant,chr5A:601216144-601220768,chr5A,601216144,601220768
WDR_GWAS_significant,chr5A:579835847-579841025,chr5A,579835847,579841025
WDR_GWAS_significant,chr5A:583187564-583192751,chr5A,583187564,583192751
WDR_GWAS_significant,chr5A:599750034-599753314,chr5A,599750034,599753314
WDR_GWAS_significant,chr5A:579613950-579617846,chr5A,579613950,579617846
WDR_GWAS_significant,chr5A:576867708-576870865,chr5A,576867708,576870865
WDR_GWAS_significant,chr5A:586286315-586289499,chr5A,586286315,586289499
WDR_GWAS_significant,chr5A:583798127-583801333,chr5A,583798127,583801333
WDR_GWAS_significant,chr5A:599496392-599500440,chr5A,599496392,599500440
WDR_GWAS_significant,chr5A:599551628-599555506,chr5A,599551628,599555506
WDR_GWAS_significant,chr5A:579963150-579970587,chr5A,579963150,579970587
WDR_GWAS_significant,chr5A:600438113-600441801,chr5A,600438113,600441801
WDR_GWAS_significant,chr5A:600442562-600445814,chr5A,600442562,600445814
WDR_GWAS_significant,chr5A:600323227-600326917,chr5A,600323227,600326917
WDR_GWAS_significant,chr5A:600326918-600330614,chr5A,600326918,600330614
WDR_GWAS_significant,chr5A:582688267-582691116,chr5A,582688267,582691116
WDR_GWAS_significant,chr5A:600195424-600201457,chr5A,600195424,600201457
WDR_GWAS_significant,chr5A:598473545-598479749,chr5A,598473545,598479749
WDR_GWAS_significant,chr5A:599658239-599661789,chr5A,599658239,599661789
WDR_GWAS_significant,chr5A:599076572-599079799,chr5A,599076572,599079799
WDR_GWAS_significant,chr5A:599091010-599094250,chr5A,599091010,599094250
WDR_GWAS_significant,chr5A:599650044-599653369,chr5A,599650044,599653369
WDR_GWAS_significant,chr5A:587051554-587057321,chr5A,587051554,587057321
WDR_GWAS_significant,chr5A:599066154-599072073,chr5A,599066154,599072073
WDR_GWAS_significant,chr5B:576423082-576428524,chr5B,576423082,576428524
WDR_GWAS_significant,chr5B:576428525-576436439,chr5B,576428525,576436439
WDR_GWAS_significant,chr5B:583536170-583541976,chr5B,583536170,583541976
WDR_GWAS_significant,chr5B:578261056-578267669,chr5B,578261056,578267669
WDR_GWAS_significant,chr5B:579253668-579257729,chr5B,579253668,579257729
WDR_GWAS_significant,chr5B:577879949-577885485,chr5B,577879949,577885485
WDR_GWAS_significant,chr5B:578271261-578274403,chr5B,578271261,578274403
WDR_GWAS_significant,chr5B:578454514-578458955,chr5B,578454514,578458955
WDR_GWAS_significant,chr5B:578831126-578835012,chr5B,578831126,578835012
WDR_GWAS_significant,chr5B:583551074-583553469,chr5B,583551074,583553469
WDR_GWAS_significant,chr5B:579359843-579363871,chr5B,579359843,579363871
WDR_GWAS_significant,chr5B:577260490-577268452,chr5B,577260490,577268452
WDR_GWAS_significant,chr5B:589771768-589776152,chr5B,589771768,589776152
Height_GWAS_significant,chr6A:360698797-360705535,chr6A,360698797,360705535
Height_GWAS_significant,chr6A:360691727-360694521,chr6A,360691727,360694521
HD_GWAS_significant,chr7A:143394545-143398030,chr7A,143394545,143398030
PM_GWAS_significant,chr7A:720556347-720559996,chr7A,720556347,720559996
PM_GWAS_significant,chr7A:722457161-722460551,chr7A,722457161,722460551
PM_GWAS_significant,chr7A:720783475-720786506,chr7A,720783475,720786506
PM_GWAS_significant,chr7A:719487816-719493058,chr7A,719487816,719493058
PM_GWAS_significant,chr7A:722929605-722943046,chr7A,722929605,722943046
PM_GWAS_significant,chr7A:740102020-740108316,chr7A,740102020,740108316
PM_GWAS_significant,chr7A:728054759-728059500,chr7A,728054759,728059500
PM_GWAS_significant,chr7A:715227627-715232975,chr7A,715227627,715232975
PM_GWAS_significant,chr7A:710541481-710546445,chr7A,710541481,710546445
PM_GWAS_significant,chr7A:720618770-720622646,chr7A,720618770,720622646
PM_GWAS_significant,chr7A:727242866-727258051,chr7A,727242866,727258051
PM_GWAS_significant,chr7A:714737349-714740138,chr7A,714737349,714740138
PM_GWAS_significant,chr7A:714997905-715005572,chr7A,714997905,715005572
PM_GWAS_significant,chr7A:719477009-719480117,chr7A,719477009,719480117
Height_GWAS_significant,chr7B:498246930-498255431,chr7B,498246930,498255431
Height_GWAS_significant,chr7B:496128370-496135095,chr7B,496128370,496135095
Height_GWAS_significant,chr7B:497223882-497228275,chr7B,497223882,497228275
Height_GWAS_significant,chr7B:496124590-496127863,chr7B,496124590,496127863
Ppd-A1,chr2A:40000000-42000000,chr2A,40000000,42000000
Ppd-B1,chr2B:62000000-64000000,chr2B,62000000,64000000
Ppd-D1,chr2D:35000000-37000000,chr2D,35000000,37000000
Vrn-A1,chr5A:588000000-590000000,chr5A,588000000,590000000
Vrn-B1,chr5B:576000000-578000000,chr5B,576000000,578000000
Rht1,chr4D:18000000-20000000,chr4D,18000000,20000000
Rht24,chr6A:415000000-417000000,chr6A,415000000,417000000
Rht25,chr6A:147000000-149000000,chr6A,147000000,149000000
Phyc-A1,chr5A:588000000-590000000,chr5A,588000000,590000000
Flc-A4,chr3A:676000000-678000000,chr3A,676000000,678000000
CO-A2,chr6A:543000000-545000000,chr6A,543000000,545000000
Vrn-B3,chr7B:9000000-11000000,chr7B,9000000,11000000
Fzp,chr2B:110000000-112000000,chr2B,110000000,112000000
MYB,chr6B:547000000-549000000,chr6B,547000000,549000000
Ft-B3,chr1B:566000000-568000000,chr1B,566000000,568000000
GA3OX3-B1,chr2B:769000000-771000000,chr2B,769000000,771000000
Lfy-D1,chr2D:609000000-611000000,chr2D,609000000,611000000
GA3OX3-D1,chr2D:623000000-625000000,chr2D,623000000,625000000
GA3OX2-A1,chr3A:55000000-57000000,chr3A,55000000,57000000
Vrn-A3,chr7A:74000000-76000000,chr7A,74000000,76000000
Pm-3,chr1A:4545869-6552088,chr1A,4545869,6552088
Pm-25,chr1A:324000000-326100000,chr1A,324000000,326100000
Pm-17,chr1A:3000000-5001000,chr1A,3000000,5001000
Pm-4,chr2A:784093929-786094607,chr2A,784093929,786094607
NHO1-2B,chr2B:748757197-750761421,chr2B,748757197,750761421
Pm-6,chr2B:698000000-700001000,chr2B,698000000,700001000
Pm-51,chr2B:714000000-716001000,chr2B,714000000,716001000
Pm-63,chr2B:716000000-718001000,chr2B,716000000,718001000
Pm-64,chr2B:701000000-703001000,chr2B,701000000,703001000
Pm-54,chr6B:703000000-705001000,chr6B,703000000,705001000
Pm-1A,chr7A:741239083-743239680,chr7A,741239083,743239680
